x,y
1.839826839826841365e-02,6.525974025974026205e-01
1.569264069264070249e-02,6.201298701298701976e-01
1.298701298701299134e-02,6.038961038961039307e-01
7.575757575757569029e-03,5.416666666666667407e-01
1.298701298701299134e-02,4.848484848484848619e-01
1.298701298701299134e-02,4.550865800865800948e-01
2.110389610389612480e-02,3.982683982683983270e-01
2.922077922077925827e-02,3.549783549783550596e-01
4.004329004329004738e-02,3.062770562770562588e-01
5.086580086580089199e-02,2.656926406926407580e-01
7.251082251082252572e-02,2.115800865800866182e-01
9.415584415584415945e-02,1.764069264069264287e-01
1.320346320346320601e-01,1.439393939393939503e-01
1.996753246753246724e-01,1.060606060606060774e-01
2.456709956709957066e-01,8.712121212121212710e-02
3.106060606060606633e-01,6.006493506493507106e-02
3.457792207792208528e-01,4.383116883116883189e-02
4.188311688311688874e-01,2.489177489177488156e-02
5.027056277056277667e-01,2.218614718614719816e-02
5.946969696969697239e-01,2.489177489177488156e-02
6.731601731601732919e-01,2.489177489177488156e-02
8.273809523809525501e-01,3.300865800865801503e-02
8.977272727272729291e-01,6.006493506493507106e-02
9.329004329004331186e-01,1.087662337662337608e-01
9.599567099567101192e-01,1.601731601731602173e-01
9.761904761904762751e-01,2.251082251082251184e-01
9.816017316017318084e-01,2.792207792207792583e-01
9.788961038961039307e-01,3.387445887445887927e-01
9.816017316017318084e-01,3.874458874458874824e-01
9.734848484848486194e-01,4.713203463203463617e-01
9.626623376623377748e-01,5.633116883116883189e-01
9.653679653679654304e-01,6.201298701298701976e-01
9.626623376623377748e-01,6.985930735930736546e-01
9.572510822510824635e-01,8.041125541125542231e-01
9.464285714285716189e-01,8.663419913419915241e-01
9.329004329004331186e-01,9.177489177489178696e-01
8.652597402597403953e-01,9.529220779220780591e-01
7.435064935064936709e-01,9.583333333333333703e-01
6.082251082251083352e-01,9.556277056277057147e-01
4.837662337662338441e-01,9.583333333333333703e-01
3.674242424242424310e-01,9.583333333333333703e-01
2.754329004329004738e-01,9.583333333333333703e-01
1.834415584415585165e-01,9.502164502164504034e-01
1.293290043290044045e-01,9.096320346320346806e-01
8.603896103896108150e-02,8.501082251082251462e-01
5.898268398268402546e-02,7.824675324675325339e-01
4.545454545454546968e-02,7.256493506493506551e-01
3.192640692640691391e-02,7.472943722943723444e-01
2.922077922077925827e-02,8.338744588744589903e-01
3.463203463203462507e-02,8.798701298701300244e-01
2.651515151515154711e-02,9.258658008658008365e-01
4.274891774891775853e-02,9.610389610389610260e-01
6.709956709956710341e-02,9.583333333333333703e-01
6.709956709956710341e-02,9.177489177489178696e-01
1.266233766233766378e-01,9.258658008658008365e-01
2.348484848484848619e-01,9.529220779220780591e-01
3.349567099567100081e-01,9.556277056277057147e-01
4.107142857142858094e-01,9.556277056277057147e-01
4.567099567099567325e-01,9.718614718614718706e-01
5.757575757575758013e-01,9.691558441558442150e-01
6.433982683982684136e-01,9.583333333333333703e-01
7.056277056277058257e-01,9.448051948051948701e-01
7.786796536796538604e-01,9.529220779220780591e-01
8.517316017316018950e-01,9.583333333333333703e-01
9.166666666666667407e-01,9.718614718614718706e-01
9.410173160173160856e-01,9.502164502164504034e-01
9.545454545454545858e-01,9.096320346320346806e-01
9.545454545454545858e-01,8.203463203463203790e-01
9.383116883116884299e-01,7.635281385281386113e-01
8.733766233766235842e-01,8.230519480519481457e-01
8.625541125541127396e-01,8.961038961038961803e-01
8.571428571428572063e-01,9.285714285714287142e-01
8.463203463203463617e-01,9.366883116883116811e-01
9.085497835497837738e-01,8.555194805194805685e-01
9.247835497835499297e-01,8.257575757575758013e-01
7.976190476190476719e-01,9.015151515151514916e-01
7.705627705627706714e-01,9.204545454545455252e-01
6.569264069264069139e-01,9.393939393939395588e-01
5.243506493506494559e-01,9.502164502164504034e-01
9.734848484848486194e-01,9.794372294372294396e-02
9.680735930735933081e-01,4.653679653679654304e-02
9.356060606060607743e-01,2.759740259740259272e-02
7.732683982683983270e-01,3.300865800865801503e-02
7.002164502164502924e-01,1.948051948051948701e-02
8.165584415584417055e-01,6.547619047619049337e-02
8.977272727272729291e-01,1.358225108225108169e-01
9.329004329004331186e-01,1.872294372294372733e-01
9.653679653679654304e-01,2.711038961038961803e-01
9.761904761904762751e-01,3.630952380952381375e-01
9.653679653679654304e-01,4.902597402597402843e-01
9.545454545454545858e-01,5.606060606060606633e-01
9.680735930735933081e-01,6.309523809523810423e-01
9.329004329004331186e-01,6.796536796536797320e-01
9.058441558441558961e-01,7.310606060606060774e-01
5.627705627705631430e-02,7.088744588744588793e-02
6.439393939393939226e-02,5.735930735930735991e-02
1.536796536796537493e-01,2.218614718614719816e-02
2.537878787878787845e-01,1.677489177489177585e-02
3.241341991341991635e-01,1.677489177489177585e-02
4.025974025974026205e-01,3.571428571428572618e-02
4.810606060606060774e-01,3.841991341991340958e-02
5.541125541125542231e-01,4.112554112554112073e-02
6.028138528138529129e-01,3.571428571428572618e-02
2.970779220779221630e-01,5.411255411255366798e-04
1.374458874458874824e-01,3.571428571428572618e-02
4.004329004329004738e-02,3.300865800865801503e-02
1.726190476190476719e-01,1.948051948051948701e-02
1.969696969696970168e-01,5.465367965367964875e-02
1.185064935064935598e-01,7.359307359307359908e-02
8.062770562770565919e-02,1.250000000000000278e-01
5.086580086580089199e-02,1.899350649350649289e-01
3.463203463203462507e-02,2.386363636363636742e-01
3.463203463203462507e-02,2.900432900432901029e-01
1.298701298701299134e-02,2.440476190476190965e-01
4.545454545454546968e-02,1.655844155844155841e-01
2.380952380952383596e-02,8.170995670995670479e-02
4.274891774891775853e-02,3.246753246753247835e-03
8.062770562770565919e-02,1.948051948051948701e-02
6.168831168831168110e-02,8.982683982683983825e-02
1.130952380952381375e-01,6.547619047619049337e-02
1.022727272727272929e-01,1.141774891774891831e-01
2.651515151515154711e-02,3.279220779220779480e-01
1.569264069264070249e-02,3.387445887445887927e-01
4.870129870129857874e-03,7.608225108225108446e-01
2.110389610389612480e-02,7.256493506493506551e-01
2.348484848484848619e-01,5.497835497835498186e-01
2.240259740259740173e-01,5.308441558441558961e-01
2.267316017316017840e-01,5.119047619047619735e-01
2.402597402597402843e-01,4.956709956709957066e-01
2.537878787878787845e-01,5.037878787878787845e-01
2.781385281385281294e-01,5.389610389610389740e-01
2.591991341991342068e-01,5.308441558441558961e-01
2.483766233766233622e-01,5.200216450216450514e-01
6.677489177489177585e-01,7.500000000000001110e-01
6.433982683982684136e-01,7.337662337662338441e-01
6.406926406926407580e-01,7.256493506493506551e-01
6.488095238095239470e-01,7.012987012987013102e-01
6.704545454545456362e-01,7.310606060606060774e-01
6.758658008658009475e-01,7.337662337662338441e-01
6.812770562770562588e-01,7.121212121212121549e-01
7.083333333333334814e-01,2.792207792207792583e-01
6.812770562770562588e-01,2.602813852813853357e-01
6.839826839826841365e-01,2.521645021645021467e-01
7.002164502164502924e-01,2.467532467532467522e-01
7.056277056277058257e-01,2.656926406926407580e-01
7.353896103896104819e-01,2.548701298701299134e-01
6.893939393939394478e-01,3.035714285714286031e-01
6.704545454545456362e-01,3.116883116883116811e-01
6.623376623376624472e-01,2.819264069264069139e-01
6.731601731601732919e-01,2.792207792207792583e-01
7.489177489177489822e-01,1.466450216450216615e-01
8.874458874458879265e-02,5.173160173160173958e-01
1.428571428571429047e-01,5.146103896103896291e-01
7.164502164502164483e-01,8.122294372294373010e-01
7.624458874458874824e-01,8.636363636363636465e-01
7.759740259740259827e-01,8.982683982683983825e-02
7.299783549783551706e-01,2.034632034632034847e-01
