x,y
4.233870967741934499e-02,5.349025974025974906e-01
4.536290322580643908e-02,5.754870129870129913e-01
7.459677419354837635e-02,6.363636363636363535e-01
1.340725806451612823e-01,7.351190476190476719e-01
2.389112903225806550e-01,8.446969696969697239e-01
3.931451612903226200e-01,9.177489177489178696e-01
4.989919354838709964e-01,9.204545454545455252e-01
6.219758064516128782e-01,9.204545454545455252e-01
7.580645161290322509e-01,8.893398268398268192e-01
8.316532258064516236e-01,8.487554112554113184e-01
8.800403225806451291e-01,7.567640692640693612e-01
9.153225806451613655e-01,6.634199134199134651e-01
9.223790322580646128e-01,5.579004329004328966e-01
9.223790322580646128e-01,4.943181818181818787e-01
9.153225806451613655e-01,3.739177489177489822e-01
8.810483870967741327e-01,3.211580086580086979e-01
8.588709677419353872e-01,2.886904761904762751e-01
7.691532258064516236e-01,2.264610389610390018e-01
7.338709677419354982e-01,1.277056277056277389e-01
6.431451612903226200e-01,4.653679653679654304e-02
5.241935483870967527e-01,4.247835497835497631e-02
4.012096774193548709e-01,5.735930735930735991e-02
3.185483870967741327e-01,5.735930735930735991e-02
3.175403225806451291e-01,5.735930735930735991e-02
2.419354838709677213e-01,5.330086580086579318e-02
1.461693548387096586e-01,6.818181818181817677e-02
9.072580645161290591e-02,1.520562770562770838e-01
5.846774193548387455e-02,2.034632034632034847e-01
4.536290322580643908e-02,2.778679653679654304e-01
2.620967741935484319e-02,3.725649350649350433e-01
1.915322580645162365e-02,4.469696969696970168e-01
1.915322580645162365e-02,4.902597402597402843e-01
4.334677419354837635e-02,5.051406926406927234e-01
7.258064516129031363e-02,5.010822510822511289e-01
1.401209677419354704e-01,4.902597402597402843e-01
1.633064516129032195e-01,4.834956709956710341e-01
1.915322580645160977e-01,4.889069264069264564e-01
2.006048387096774077e-01,5.037878787878787845e-01
2.157258064516129059e-01,5.132575757575758013e-01
2.379032258064515959e-01,5.173160173160173958e-01
2.590725806451612545e-01,5.173160173160173958e-01
2.731854838709677491e-01,5.091991341991342068e-01
2.812500000000000000e-01,4.970238095238095344e-01
1.249999999999999722e-01,4.916125541125541121e-01
1.754032258064515959e-01,4.848484848484848619e-01
0.10000225806451612823e-00,0.500484848484848619e-00
