x,y
1.536796536796537493e-01,4.983766233766233622e-01
2.673160173160173958e-01,4.983766233766233622e-01
3.674242424242424310e-01,4.956709956709957066e-01
4.729437229437229995e-01,5.822510822510822415e-01
5.054112554112555333e-01,4.983766233766233622e-01
4.540043290043290769e-01,4.307359307359307499e-01
4.431818181818182323e-01,4.929653679653679399e-01
4.269480519480519654e-01,5.362554112554113184e-01
6.168831168831168110e-02,5.416666666666667407e-01
5.898268398268402546e-02,6.877705627705628100e-01
8.062770562770565919e-02,7.797619047619048782e-01
5.357142857142860315e-02,6.174242424242424310e-01
1.103896103896104264e-01,8.257575757575758013e-01
1.590909090909091717e-01,8.690476190476191798e-01
2.646103896103896291e-01,9.204545454545455252e-01
2.213203463203463617e-01,9.015151515151514916e-01
3.403679653679654304e-01,9.339826839826840255e-01
4.350649350649351543e-01,9.448051948051948701e-01
5.541125541125542231e-01,9.475108225108225257e-01
6.406926406926407580e-01,9.312770562770563698e-01
7.353896103896104819e-01,9.150432900432902139e-01
7.976190476190476719e-01,8.879870129870129913e-01
8.652597402597403953e-01,8.474025974025974906e-01
9.410173160173160856e-01,7.959956709956710341e-01
9.707792207792209638e-01,7.148268398268399215e-01
9.761904761904762751e-01,6.336580086580086979e-01
9.843073593073594640e-01,5.551948051948052409e-01
9.761904761904762751e-01,4.767316017316017840e-01
9.680735930735933081e-01,4.145021645021644829e-01
9.518398268398269302e-01,3.198051948051948701e-01
9.356060606060607743e-01,2.278138528138528296e-01
9.193722943722943963e-01,1.845238095238095621e-01
8.625541125541127396e-01,1.385281385281385280e-01
7.732683982683983270e-01,7.359307359307359908e-02
6.731601731601732919e-01,5.465367965367964875e-02
5.432900432900433785e-01,5.194805194805193760e-02
4.567099567099567325e-01,5.194805194805193760e-02
3.538961038961039307e-01,6.818181818181817677e-02
2.673160173160173958e-01,8.712121212121212710e-02
2.077922077922078614e-01,1.304112554112554501e-01
1.401515151515151381e-01,2.007575757575757736e-01
9.145021645021644829e-02,2.927489177489177585e-01
5.898268398268402546e-02,3.901515151515151381e-01
5.627705627705631430e-02,4.686147186147185950e-01
5.086580086580089199e-02,2.738095238095238360e-01
5.086580086580089199e-02,1.737012987012987175e-01
4.545454545454546968e-02,8.170995670995670479e-02
1.455627705627705604e-01,5.194805194805193760e-02
1.103896103896104264e-01,1.222943722943723166e-01
1.996753246753246724e-01,5.465367965367964875e-02
2.889610389610389740e-01,1.948051948051948701e-02
4.540043290043290769e-01,3.300865800865801503e-02
6.542207792207792583e-01,2.489177489177488156e-02
7.732683982683983270e-01,3.300865800865801503e-02
9.112554112554114294e-01,4.383116883116883189e-02
9.572510822510824635e-01,1.222943722943723166e-01
9.788961038961039307e-01,5.194805194805193760e-02
8.733766233766235842e-01,5.194805194805193760e-02
9.031385281385282404e-01,8.441558441558441594e-02
8.814935064935065512e-01,8.744588744588744911e-01
9.599567099567101192e-01,8.446969696969697239e-01
8.246753246753248945e-01,9.123376623376623362e-01
9.545454545454545858e-01,9.610389610389610260e-01
9.491341991341992745e-01,8.988095238095238360e-01
9.004329004329005848e-01,9.150432900432902139e-01
8.084415584415585165e-01,9.529220779220780591e-01
7.245670995670996373e-01,9.502164502164504034e-01
8.869047619047620845e-01,9.664502164502165593e-01
2.922077922077925827e-02,9.502164502164504034e-01
4.004329004329004738e-02,8.933982683982685247e-01
2.110389610389612480e-02,7.662337662337662669e-01
2.380952380952383596e-02,6.525974025974026205e-01
1.839826839826841365e-02,5.416666666666667407e-01
2.651515151515154711e-02,4.117965367965368273e-01
3.733766233766233622e-02,3.198051948051948701e-01
9.145021645021644829e-02,9.637445887445889037e-01
1.185064935064935598e-01,9.393939393939395588e-01
2.456709956709957066e-01,9.502164502164504034e-01
3.863636363636364646e-01,9.502164502164504034e-01
5.162337662337662669e-01,9.583333333333333703e-01
6.569264069264069139e-01,9.691558441558442150e-01
7.083333333333334814e-01,9.718614718614718706e-01
5.487012987012988008e-01,9.772727272727274039e-01
4.648268398268399215e-01,9.799783549783550596e-01
3.836580086580086979e-01,9.826839826839827152e-01
2.673160173160173958e-01,9.880952380952382486e-01
9.843073593073594640e-01,7.148268398268399215e-01
9.897186147186147753e-01,7.824675324675325339e-01
9.788961038961039307e-01,7.121212121212121549e-01
9.897186147186147753e-01,6.309523809523810423e-01
9.843073593073594640e-01,2.981601731601731808e-01
9.788961038961039307e-01,1.926406926406926401e-01
9.220779220779222740e-01,3.306277056277057147e-01
9.464285714285716189e-01,4.415584415584415945e-01
9.383116883116884299e-01,5.443722943722943963e-01
9.437229437229437412e-01,7.256493506493506551e-01
8.923160173160173958e-01,8.068181818181818787e-01
4.004329004329004738e-02,8.365800865800866459e-01
1.861471861471861722e-01,9.637445887445889037e-01
2.922077922077925827e-02,4.875541125541126286e-01
1.022727272727272929e-01,1.818181818181818510e-01
9.415584415584415945e-02,3.300865800865801503e-02
5.243506493506494559e-01,1.677489177489177585e-02
3.728354978354978533e-01,1.406926406926406470e-02
