x,y
1.512096774193548432e-01,4.956709956709957066e-01
2.419354838709677213e-01,5.010822510822511289e-01
2.883064516129032473e-01,5.389610389610389740e-01
3.205645161290322509e-01,5.768398268398269302e-01
3.931451612903226200e-01,5.849567099567100081e-01
4.112903225806451291e-01,5.551948051948052409e-01
4.395161290322581182e-01,5.119047619047619735e-01
2.741935483870967527e-01,4.686147186147185950e-01
3.366935483870967527e-01,4.496753246753246724e-01
3.326612903225806273e-01,5.064935064935065512e-01
3.850806451612903691e-01,4.821428571428572063e-01
4.092741935483871218e-01,4.361471861471861722e-01
3.669354838709677491e-01,5.227272727272727071e-01
3.608870967741936164e-01,5.741341991341991635e-01
7.661290322580643908e-02,5.497835497835498186e-01
8.266129032258065501e-02,4.253246753246753276e-01
1.169354838709677213e-01,2.900432900432901029e-01
1.633064516129032195e-01,2.169913419913420405e-01
2.278225806451612823e-01,1.493506493506493726e-01
3.004032258064516236e-01,9.253246753246754941e-02
3.891129032258064946e-01,6.277056277056278222e-02
5.141129032258064946e-01,5.735930735930735991e-02
6.088709677419354982e-01,5.735930735930735991e-02
7.157258064516128782e-01,8.712121212121212710e-02
7.963709677419354982e-01,1.277056277056277389e-01
8.548387096774193727e-01,1.818181818181818510e-01
9.153225806451613655e-01,2.711038961038961803e-01
9.475806451612903691e-01,3.739177489177489822e-01
9.616935483870968637e-01,4.577922077922078614e-01
9.596774193548386345e-01,5.579004329004328966e-01
9.475806451612903691e-01,6.471861471861471982e-01
9.153225806451613655e-01,7.364718614718614997e-01
8.568548387096773800e-01,8.446969696969697239e-01
8.004032258064516236e-01,9.042207792207793693e-01
6.915322580645161255e-01,9.502164502164504034e-01
6.008064516129032473e-01,9.475108225108225257e-01
4.596774193548387455e-01,9.529220779220780591e-01
3.608870967741936164e-01,9.393939393939395588e-01
2.681451612903226200e-01,8.906926406926408690e-01
2.016129032258064668e-01,8.230519480519481457e-01
1.512096774193548432e-01,7.472943722943723444e-01
1.008064516129032195e-01,6.553030303030303871e-01
4.838709677419353317e-02,6.850649350649351543e-01
2.419354838709678046e-02,7.635281385281386113e-01
5.846774193548387455e-02,8.771645021645021467e-01
1.491935483870967805e-01,9.177489177489178696e-01
1.169354838709677213e-01,8.419913419913420682e-01
4.233870967741934499e-02,9.312770562770563698e-01
1.471774193548387177e-01,9.664502164502165593e-01
2.479838709677419095e-01,9.610389610389610260e-01
9.112903225806451291e-01,9.583333333333333703e-01
9.576612903225806273e-01,9.204545454545455252e-01
9.495967741935483764e-01,8.392857142857143016e-01
8.870967741935483764e-01,9.177489177489178696e-01
8.104838709677419928e-01,9.556277056277057147e-01
7.036290322580645018e-01,9.015151515151514916e-01
5.927419354838709964e-01,9.015151515151514916e-01
4.939516129032258673e-01,9.258658008658008365e-01
5.161290322580645018e-01,9.502164502164504034e-01
9.576612903225806273e-01,3.603896103896103709e-01
9.717741935483871218e-01,2.467532467532467522e-01
9.596774193548386345e-01,9.794372294372294396e-02
8.629032258064516236e-01,7.900432900432902139e-02
8.971774193548386345e-01,1.682900432900432952e-01
7.762096774193548709e-01,6.277056277056278222e-02
6.391129032258064946e-01,4.383116883116883189e-02
5.000000000000000000e-01,3.841991341991340958e-02
3.931451612903226200e-01,4.653679653679654304e-02
2.157258064516129059e-01,3.841991341991340958e-02
1.391129032258064668e-01,3.841991341991340958e-02
6.653225806451612545e-02,1.412337662337662392e-01
3.225806451612903136e-02,2.819264069264069139e-01
5.040322580645162365e-02,7.629870129870131024e-02
1.653225806451612823e-01,1.412337662337662392e-01
3.427419354838709964e-01,5.465367965367964875e-02
5.302419354838709964e-01,4.112554112554112073e-02
4.536290322580645018e-01,4.383116883116883189e-02
4.475806451612903691e-01,1.006493506493506551e-01
5.443548387096773800e-01,8.712121212121212710e-02
6.532258064516128782e-01,1.222943722943723166e-01
7.741935483870967527e-01,2.088744588744589070e-01
8.407258064516128782e-01,2.954545454545455252e-01
8.669354838709676381e-01,3.901515151515151381e-01
8.790322580645161255e-01,5.281385281385281294e-01
8.649193548387096309e-01,6.471861471861471982e-01
8.790322580645161255e-01,7.797619047619048782e-01
9.536290322580646128e-01,7.797619047619048782e-01
9.858870967741936164e-01,7.364718614718614997e-01
8.467741935483871218e-01,7.608225108225108446e-01
7.620967741935483764e-01,9.448051948051948701e-01
2.822580645161290591e-02,3.739177489177489822e-01
8.064516129032259228e-02,2.224025974025974073e-01
4.032258064516128226e-02,5.119047619047619735e-01
2.661290322580645018e-01,2.218614718614719816e-02
2.419354838709678046e-02,2.218614718614719816e-02
8.709677419354838745e-01,5.735930735930735991e-02
9.314516129032258673e-01,3.841991341991340958e-02
9.657258064516128782e-01,1.358225108225108169e-01
9.112903225806451291e-01,4.361471861471861722e-01
4.375000000000000000e-01,4.794372294372294396e-01
4.536290322580645018e-01,5.524891774891774743e-01
4.354838709677419928e-01,5.849567099567100081e-01
8.870967741935484319e-02,4.848484848484848619e-01
9.475806451612903136e-02,7.472943722943723444e-01
